row_no,model_no,material,metal_finish,stone,size,weight_g,qty,unit_price_usd,total_price_usd,raw_desc
215,ORCB168,925 Sterling Silver,Metal: Oxidized Silver,Black & Red Enamel,12mm,2.10,10,5.03,50.30,925 Sterling Silver | Metal: Oxidized Silver | Black & Red Enamel | 12mm
216,ORCB169,925 Sterling Silver,Metal: Oxidized Silver,Pink Enamel,15mm,3.10,10,6.34,63.40,925 Sterling Silver | Metal: Oxidized Silver | Pink Enamel | 15mm
217,ORCB170,925 Sterling Silver,Metal: Oxidized Silver,White & Blue CZ,14mm,2.00,9,4.59,41.31,925 Sterling Silver | Metal: Oxidized Silver | White & Blue CZ | 14mm
218,ORCB171,925 Sterling Silver,Metal: Oxidized Silver,Green & Yellow & Pink & Purple CZ,13mm,2.40,10,5.03,50.30,925 Sterling Silver | Metal: Oxidized Silver | Green & Yellow & Pink & Purple CZ | 13mm
219,ORCB173,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,10mm,2.50,10,5.69,56.90,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 10mm
220,ORCB174,925 Sterling Silver,Metal: Oxidized Silver,,10mm,2.10,10,4.81,48.10,925 Sterling Silver | Metal: Oxidized Silver | None | 10mm
221,ORCB175,925 Sterling Silver,Metal: Oxidized Silver,,12mm,1.90,9,4.59,41.31,925 Sterling Silver | Metal: Oxidized Silver | None | 12mm
222,ORCB176,925 Sterling Silver,Metal: Oxidized Silver,Green & White & Champange CZ,11mm,2.60,30,7.22,216.60,925 Sterling Silver | Metal: Oxidized Silver | Green & White & Champange CZ | 11mm
223,ORCB177,925 Sterling Silver,Metal: Oxidized Silver,Green & Orange Enamel,12.5mm,2.70,10,5.91,59.10,925 Sterling Silver | Metal: Oxidized Silver | Green & Orange Enamel | 12.5mm
224,ORCB179,925 Sterling Silver,Metal: Oxidized Silver,Milky Green Enamel,13mm,2.60,10,6.34,63.40,925 Sterling Silver | Metal: Oxidized Silver | Milky Green Enamel | 13mm
225,ORCB180,925 Sterling Silver,Metal: Oxidized Silver,White CZ,12mm,1.70,15,5.03,75.45,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 12mm
226,ORCB182,925 Sterling Silver,Metal: Oxidized Silver,Blue & Yellow Enamel,11mm,2.70,16,5.69,91.04,925 Sterling Silver | Metal: Oxidized Silver | Green & Orange & White & Red & | Blue & Yellow Enamel | 11mm
227,ORCBB01-17,925 Sterling Silver+AAAA CZ,,Main Stone :White CZ,17 cm,13.16,44,22.15,974.60,925 Sterling Silver+AAAA CZ | Main Stone :White CZ | 17 cm
228,ORCBB01-19,925 Sterling Silver+AAAA CZ,,Main Stone :White CZ,19cm,14.40,44,23.95,1053.80,925 Sterling Silver+AAAA CZ | Main Stone :White CZ | 19cm
229,ORCBB01-21,925 Sterling Silver+AAAA CZ,,Main Stone :White CZ,21cm,16.50,46,26.85,1235.10,925 Sterling Silver+AAAA CZ | Main Stone :White CZ | 21cm
230,ORCB183-A,925 Sterling Silver,Metal: Oxidized Silver,,10.5mm,1.80,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None | 10.5mm
231,ORCB183-B,925 Sterling Silver,Metal: Oxidized Silver,,,1.70,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
232,ORCB183-C,925 Sterling Silver,Metal: Oxidized Silver,,,1.50,10,4.22,42.20,925 Sterling Silver | Metal: Oxidized Silver | None
233,ORCB183-D,925 Sterling Silver,Metal: Oxidized Silver,,,1.80,10,4.67,46.70,925 Sterling Silver | Metal: Oxidized Silver | None
234,ORCB183-E,925 Sterling Silver,Metal: Oxidized Silver,,,1.70,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
235,ORCB183-F,925 Sterling Silver,Metal: Oxidized Silver,,,1.70,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
236,ORCB183-G,925 Sterling Silver,Metal: Oxidized Silver,,,1.60,10,4.22,42.20,925 Sterling Silver | Metal: Oxidized Silver | None
237,ORCB183-H,925 Sterling Silver,Metal: Oxidized Silver,,,1.90,10,4.67,46.70,925 Sterling Silver | Metal: Oxidized Silver | None
238,ORCB183-I,925 Sterling Silver,Metal: Oxidized Silver,,,1.30,10,4.00,40.00,925 Sterling Silver | Metal: Oxidized Silver | None
239,ORCB183-J,925 Sterling Silver,Metal: Oxidized Silver,,,1.90,10,4.67,46.70,925 Sterling Silver | Metal: Oxidized Silver | None
240,ORCB183-K,925 Sterling Silver,Metal: Oxidized Silver,,,2.10,10,4.89,48.90,925 Sterling Silver | Metal: Oxidized Silver | None
241,ORCB183-L,925 Sterling Silver,Metal: Oxidized Silver,,,1.40,10,4.00,40.00,925 Sterling Silver | Metal: Oxidized Silver | None
242,ORCB183-M,925 Sterling Silver,Metal: Oxidized Silver,,,1.80,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
243,ORCB183-N,925 Sterling Silver,Metal: Oxidized Silver,,,1.70,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
244,ORCB183-O,925 Sterling Silver,Metal: Oxidized Silver,,,1.50,10,4.00,40.00,925 Sterling Silver | Metal: Oxidized Silver | None
245,ORCB183-P,925 Sterling Silver,Metal: Oxidized Silver,,,1.70,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
246,ORCB183-Q,925 Sterling Silver,Metal: Oxidized Silver,,,1.80,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
247,ORCB183-R,925 Sterling Silver,Metal: Oxidized Silver,,,1.80,9,4.44,40.00,925 Sterling Silver | Metal: Oxidized Silver | None
248,ORCB183-S,925 Sterling Silver,Metal: Oxidized Silver,,,1.50,10,4.00,40.00,925 Sterling Silver | Metal: Oxidized Silver | None
249,ORCB183-T,925 Sterling Silver,Metal: Oxidized Silver,,,1.60,10,4.22,42.20,925 Sterling Silver | Metal: Oxidized Silver | None
250,ORCB183-U,925 Sterling Silver,Metal: Oxidized Silver,,,1.80,10,4.44,44.40,925 Sterling Silver | Metal: Oxidized Silver | None
251,ORCB183-V,925 Sterling Silver,Metal: Oxidized Silver,,,1.60,10,4.22,42.20,925 Sterling Silver | Metal: Oxidized Silver | None
252,ORCB183-W,925 Sterling Silver,Metal: Oxidized Silver,,,1.50,10,4.22,42.22,925 Sterling Silver | Metal: Oxidized Silver | None
253,ORCB183-X,925 Sterling Silver,Metal: Oxidized Silver,,,1.90,10,4.22,42.20,925 Sterling Silver | Metal: Oxidized Silver | None
254,ORCB183-Y,925 Sterling Silver,Metal: Oxidized Silver,,,1.10,10,3.56,35.60,925 Sterling Silver | Metal: Oxidized Silver | None
255,ORCB183-Z,925 Sterling Silver,Metal: Oxidized Silver,,,2.20,10,5.11,51.10,925 Sterling Silver | Metal: Oxidized Silver | None
390,ORGCB05-P-18,925 Sterling Silver,Metal: Rhodium plated+18k gold,,12.5*8mm,2,30,5.09,152.70,925 Sterling Silver | Metal: Rhodium plated+18k gold | plated | 12.5*8mm
391,ORGCB06-P,925 Sterling Silver,Metal: Rhodium plated,Red stone,11*10mm,2.1,15,7.09,106.35,925 Sterling Silver | Metal: Rhodium plated | Red stone | 11*10mm
392,ORGCB50P,925 Sterling Silver,Metal: Rhodium plated+red enamel,,11*10mm,2.1,15,7.09,106.35,925 Sterling Silver | Metal: Rhodium plated+red enamel | 11*10mm
393,ORGCB07-18K,925 Sterling Silver,Metal: 18k gold plated+enamel,,10.5*10.5*11.2mm,1.9,15,5.81,87.15,925 Sterling Silver | Metal: 18k gold plated+enamel | 10.5*10.5*11.2mm
394,ORGCB07-P,925 Sterling Silver,Metal: rhodium plating +enamel,,10.5*10.5*11.2mm,1.9,15,6.04,90.60,925 Sterling Silver | Metal: rhodium plating +enamel | 10.5*10.5*11.2mm
395,ORGCB08-P,925 Sterling Silver,Metal: Rhodium plated,,10.5*7.3*8.5mm,2.50,15,5.49,82.35,925 Sterling Silver | Metal: Rhodium plated | 10.5*7.3*8.5mm
396,ORGCB08-18K,925 Sterling Silver,Metal: 18k gold plated,,10.5*7.3*8.5mm,2.50,15,5.26,78.90,925 Sterling Silver | Metal: 18k gold plated | 10.5*7.3*8.5mm
397,ORGCB09-P,925 Sterling Silver,Metal: Rhodium plated,Blue stone,11.4*11mm,1.1,30,3.99,119.70,925 Sterling Silver | Metal: Rhodium plated | Blue stone | 11.4*11mm
398,ORGCB10-P,925 Sterling Silver,Metal: Enamel,,12*5mm,1.2,30,4.88,146.40,925 Sterling Silver | Metal: Enamel | 12*5mm
399,ORGCB11-18K,925 Sterling Silver,Metal: Rhodium plated+18k gold,,20*11mm,2.8,30,6.21,186.30,925 Sterling Silver | Metal: Rhodium plated+18k gold | plated | 20*11mm
400,ORGCB12-18K,925 Sterling Silver,Metal: 18K gold plated,,17*9mm,2.50,30,5.12,153.60,925 Sterling Silver | Metal: 18K gold plated | 17*9mm
401,ORGCB18,925 Sterling Silver,Metal: rhodium plating+ enamel,,11*11mm,2.20,30,5.45,163.50,925 Sterling Silver | Metal: rhodium plating+ enamel | 11*11mm
402,ORGCB19-18K,925 Sterling Silver,Metal: 18K gold plated,,13.6*8.2MM,3.30,15,6.13,91.95,925 Sterling Silver | Metal: 18K gold plated | 13.6*8.2MM
403,ORGCB19-P,925 Sterling Silver,Metal: silver oxidation,,13.6*8.2MM,3.30,15,6.13,91.95,925 Sterling Silver | Metal: silver oxidation | 13.6*8.2MM
404,ORGCB20-18K,925 Sterling Silver,Metal: 18K gold plated,,16*13mm,3.00,15,5.75,86.25,925 Sterling Silver | Metal: 18K gold plated | 16*13mm
405,ORGCB20-P,925 Sterling Silver,Metal: silver oxidation,,16*13mm,3.00,15,5.75,86.25,925 Sterling Silver | Metal: silver oxidation | 16*13mm
406,ORGCB21-18K,925 Sterling Silver,Metal: 18K gold plated,,15*10mm,4.50,15,7.65,114.75,925 Sterling Silver | Metal: 18K gold plated | 15*10mm
407,ORGCB21-P,925 Sterling Silver,Metal: silver oxidation,,15*10mm,4.50,15,7.65,114.75,925 Sterling Silver | Metal: silver oxidation | 15*10mm
408,ORGCB22-18K,925 Sterling Silver,Metal: 18K gold plated,,17*15mm,1.7,15,4.34,65.10,925 Sterling Silver | Metal: 18K gold plated | 17*15mm
409,ORGCB22-P,925 Sterling Silver,Metal: silver oxidation,,17*15mm,1.7,14,4.34,60.76,925 Sterling Silver | Metal: silver oxidation | 17*15mm
410,ORGCB23-18K,925 Sterling Silver,Metal: 18K gold plated,,14*11mm,2.40,15,4.99,74.85,925 Sterling Silver | Metal: 18K gold plated | 14*11mm
411,ORGCB23-P,925 Sterling Silver,Metal: silver oxidation,,14*11mm,2.40,15,4.99,74.85,925 Sterling Silver | Metal: silver oxidation | 14*11mm
412,ORGCB24-18K,925 Sterling Silver,Metal: 18K gold plated,,16*14mm,2.60,15,5.25,78.75,925 Sterling Silver | Metal: 18K gold plated | 16*14mm
413,ORGCB24-P,925 Sterling Silver,Metal: silver oxidation,,16*14mm,2.60,15,5.25,78.75,925 Sterling Silver | Metal: silver oxidation | 16*14mm
414,ORGCB25,925 Sterling Silver,Metal: silver oxidation,,19*14mm,3.80,30,7.25,217.50,925 Sterling Silver | Metal: silver oxidation | 19*14mm
415,ORGCB26-18K,925 Sterling Silver,Metal: 18K gold plated,,16*6mm,2.30,15,5.10,76.50,925 Sterling Silver | Metal: 18K gold plated | 16*6mm
416,ORGCB26-P,925 Sterling Silver,Metal: silver oxidation,,16*6mm,2.30,13,5.10,66.30,925 Sterling Silver | Metal: silver oxidation | 16*6mm
417,ORGCB27,925 Sterling Silver,Metal: rhodium plating,,10.5*7.5mm,1.7,30,4.02,120.60,925 Sterling Silver | Metal: rhodium plating | 10.5*7.5mm
418,ORGCB28-18K,925 Sterling Silver,Metal: 18K gold plated,,14.5*5.5mm,2.50,15,5.35,80.25,925 Sterling Silver | Metal: 18K gold plated | 14.5*5.5mm
419,ORGCB28-P,925 Sterling Silver,Metal: silver oxidation,,14.5*5.5mm,2.50,15,5.35,80.25,925 Sterling Silver | Metal: silver oxidation | 14.5*5.5mm
420,ORGCB29-18K,925 Sterling Silver,Metal: 18K gold plated,,16.5*7.5mm,1.60,15,4.21,63.15,925 Sterling Silver | Metal: 18K gold plated | 16.5*7.5mm
421,ORGCB29-P,925 Sterling Silver,Metal: silver oxidation,,16.5*7.5mm,1.60,14,4.21,58.94,925 Sterling Silver | Metal: silver oxidation | 16.5*7.5mm
422,ORGCB30-18K,925 Sterling Silver,Metal: 18K gold plated,,15*8mm,3.00,15,6.03,90.45,925 Sterling Silver | Metal: 18K gold plated | 15*8mm
423,ORGCB30-P,925 Sterling Silver,Metal: silver oxidation,,15*8mm,3.00,15,6.03,90.45,925 Sterling Silver | Metal: silver oxidation | 15*8mm
432,ORPA0010,925 Sterling Silver,Metal: Silver palting,,4.4*10.2,1.94,10,5.92,59.20,925 Sterling Silver | Metal: Silver palting | None | 4.4*10.2
433,ORPA034,925 Sterling Silver,Metal: Oxidized Silver,,3.3*8.6mm,1.10,10,4.66,46.60,925 Sterling Silver | Metal: Oxidized Silver | None | 3.3*8.6mm
434,ORPA0035,925 Sterling Silver,Metal: Oxidized Silver,,3.6*9.8mm,1.50,9,5.35,48.15,925 Sterling Silver | Metal: Oxidized Silver | Pink | 3.6*9.8mm
435,ORPA0094,925 Sterling Silver,Metal: Silver palting,,3.6*10.5mm,1.40,10,4.79,47.90,925 Sterling Silver | Metal: Silver palting | pink | 3.6*10.5mm
436,ORPA0097,925 Sterling Silver,Metal: Oxidized Silver,,5.1*10.2mm,1.50,10,5.57,55.70,925 Sterling Silver | Metal: Oxidized Silver | purplr | 5.1*10.2mm
437,ORPA0123,925 Sterling Silver,Metal: Oxidized Silver,,4.1*9.8mm,1.23,10,4.39,43.90,925 Sterling Silver | Metal: Oxidized Silver | blue | 4.1*9.8mm
438,ORPA0132,925 Sterling Silver,Metal: Oxidized Silver,,3.8*11.1mm,1.63,10,5.46,54.60,925 Sterling Silver | Metal: Oxidized Silver | red and white | 3.8*11.1mm
439,ORPA0142,925 Sterling Silver,Metal: Oxidized Silver,,3.5*9.2mm,0.95,10,3.77,37.70,925 Sterling Silver | Metal: Oxidized Silver | None | 3.5*9.2mm
440,ORPA0147,925 Sterling Silver,Metal: Oxidized Silver,,3.5*9.2mm,0.93,10,3.75,37.50,925 Sterling Silver | Metal: Oxidized Silver | None | 3.5*9.2mm
441,ORPA0149,925 Sterling Silver,Metal: Oxidized Silver,,3.5*9.2mm,0.90,10,3.62,36.20,925 Sterling Silver | Metal: Oxidized Silver | None | 3.5*9.2mm
442,ORPA0107,925 Sterling Silver,Metal: Oxidized Silver,,8.2*10.3mm,1.50,10,5.50,55.00,925 Sterling Silver | Metal: Oxidized Silver | blue | 8.2*10.3mm
443,ORGCB51-WY,925 Sterling Silver,Metal: Rhodium plated+enamel,,14*14mm,1.60,30,4.93,147.90,925 Sterling Silver | Metal: Rhodium plated+enamel | 14*14mm
444,ORGCB51-YL,925 Sterling Silver,Metal: Rhodium plated+enamel,,14*14mm,1.60,30,4.93,147.90,925 Sterling Silver | Metal: Rhodium plated+enamel | 14*14mm
445,ORGCB51-YP,925 Sterling Silver,Metal: Rhodium plated+enamel,,14*14mm,1.60,29,4.93,142.97,925 Sterling Silver | Metal: Rhodium plated+enamel | 14*14mm
446,ORGCB51-YR,925 Sterling Silver,Metal: Rhodium plated+enamel,,14*14mm,1.60,30,4.93,147.90,925 Sterling Silver | Metal: Rhodium plated+enamel | 14*14mm
447,ORGCB51-P,925 Sterling Silver,Metal: Rhodium plated+enamel,,14*14mm,1.60,30,4.93,147.90,925 Sterling Silver | Metal: Rhodium plated+enamel | 14*14mm
448,ORGCB52-L,925 Sterling Silver,Metal: Rhodium plated+enamel,,17*12*2mm,4.00,28,7.56,211.68,925 Sterling Silver | Metal: Rhodium plated+enamel | 17*12*2mm
449,ORGCB53-L,925 Sterling Silver,Metal: Rhodium plated+enamel,,17*12*2mm,4.00,28,7.60,212.80,925 Sterling Silver | Metal: Rhodium plated+enamel | 17*12*2mm
450,ORGCB54-L,925 Sterling Silver,Metal: Rhodium plated+enamel,,17*12*2mm,4.00,28,7.65,214.20,925 Sterling Silver | Metal: Rhodium plated+enamel | 17*12*2mm
451,ORGCB55-L,925 Sterling Silver,Metal: Rhodium plated+enamel,,17*12*2mm,4.00,29,7.73,224.17,925 Sterling Silver | Metal: Rhodium plated+enamel | 17*12*2mm
452,ORGCB56-B,925 Sterling Silver,Metal: Rhodium plated+enamel,,17*12*2mm,4.00,26,7.57,196.82,925 Sterling Silver | Metal: Rhodium plated+enamel | 17*12*2mm
453,ORGCB57-Z,925 Sterling Silver,Metal: Rhodium plated+enamel,,18*13mm,3.90,27,7.82,211.14,925 Sterling Silver | Metal: Rhodium plated+enamel | 18*13mm
454,ORGCB58-LVR,925 Sterling Silver,Metal: Rhodium plated+enamel,,15*14.5mm,2.70,23,5.65,129.95,925 Sterling Silver | Metal: Rhodium plated+enamel | 15*14.5mm
455,ORCB32-Vir,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.31,68.96,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
456,ORCB32-Tau,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.42,70.72,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
457,ORCB32-Ari,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,15,4.26,63.90,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
458,ORCB32-Sco,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,11,4.31,47.41,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
459,ORCB32-Psc,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,15,4.17,62.55,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
460,ORCB32-Cap,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,13,4.42,57.46,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
461,ORCB32-Cnc,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.26,68.16,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
462,ORCB32-Sgr,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.31,68.96,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
463,ORCB32-Leo,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.31,68.96,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
464,ORCB32-Gem,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,16,4.31,68.96,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
465,ORCB32-Lib,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,15,4.35,65.25,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
466,ORCB32-Agr,925 Sterling Silver,Metal: Oxidized Silver,Blue Enamel,11mm,2.54,13,4.47,58.11,925 Sterling Silver | Metal: Oxidized Silver | Blue Enamel | 11mm
467,ORCB33-R,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Garent,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Garent | 11mm
468,ORCB33-P,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Amethyest,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Amethyest | 11mm
469,ORCB33-Q,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Aquamarine,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Aquamarine | 11mm
470,ORCB33-W,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm White,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm White | 11mm
471,ORCB33-LV,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Emerlad,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Emerlad | 11mm
472,ORCB33-PL,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Alexendirte,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Alexendirte | 11mm
473,ORCB33-M,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Ruby,11mm,1.56,19,3.50,66.50,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Ruby | 11mm
474,ORCB33-G,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone : 3mm Peridot,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone : 3mm Peridot | 11mm
475,ORCB33-BL,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Sapphire,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Sapphire | 11mm
476,ORCB33-F,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Tourmaline,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Tourmaline | 11mm
477,ORCB33-X,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Yellow Topaz,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Yellow Topaz | 11mm
478,ORCB33-L,925 Sterling Silver+AAAA CZ,Metal: Oxidized Silver,Main Stone :3mm Turquoise,11mm,1.56,20,3.50,70.00,925 Sterling Silver+AAAA CZ | Metal: Oxidized Silver | Main Stone :3mm Turquoise | 11mm
483,ORCB199,925 Sterling Silver + AAAA CZ,Metal: Oxidized Silver,Stone: Multi-Colors,11mm,2.3,21,6.62,139.02,925 Sterling Silver + AAAA CZ | Metal: Oxidized Silver | Stone: Multi-Colors | 11mm
484,ORCB200,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,10mm,1.5,20,4.60,92.00,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 10mm
485,ORCB201,925 Sterling Silver + AAAA CZ,Metal: Oxidized Silver,Stone: White,12mm,1.9,21,6.62,139.02,925 Sterling Silver + AAAA CZ | Metal: Oxidized Silver | Stone: White | 12mm
486,ORCB202,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,11mm,2.0,19,5.34,101.46,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 11mm
487,ORCB203,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,11.5mm,1.5,19,4.35,82.65,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 11.5mm
488,ORCB204,925 Sterling Silver + AAAA CZ,Metal: Oxidized Silver,Stone: White,11mm,2.3,19,5.40,102.60,925 Sterling Silver + AAAA CZ | Metal: Oxidized Silver | Stone: White | 11mm
489,ORCB205,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,10.5mm,2.7,21,6.73,141.33,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 10.5mm
490,ORCB206,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,10.5mm,2.0,20,5.24,104.80,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 10.5mm
491,ORCB176,925 Sterling Silver + AAAA CZ,Metal: Oxidized Silver,Stone: Multi-Colors,11mm,2.6,20,7.48,149.60,925 Sterling Silver + AAAA CZ | Metal: Oxidized Silver | Stone: Multi-Colors | 11mm
492,ORCB208,925 Sterling Silver + AAAA CZ +,Metal: Oxidized Silver,Enamel,23mm,2.0,21,6.52,136.92,925 Sterling Silver + AAAA CZ + | Enamel | Metal: Oxidized Silver | Stone: White | 23mm
493,ORCB209,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,23.5mm,1.8,21,6.45,135.45,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 23.5mm
494,ORCB210,925 Sterling Silver,Metal:Rhodium Plated,Stone: none,24mm,1.8,20,5.77,115.40,925 Sterling Silver | Metal:Rhodium Plated | Stone: none | 24mm
495,ORCB211,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,21mm,2.0,21,6.62,139.02,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 21mm
496,ORCB212,925 Sterling Silver + AAAA CZ,Metal:Rhodium Plated,Stone: Blue,22mm,1.3,20,4.30,86.00,925 Sterling Silver + AAAA CZ | Metal:Rhodium Plated | Stone: Blue | 22mm
497,ORCB213,925 Sterling Silver + AAAA CZ,Metal:Rhodium Plated,Stone: White,24mm,2.0,21,6.49,136.29,925 Sterling Silver + AAAA CZ | Metal:Rhodium Plated | Stone: White | 24mm
498,ORCB214,925 Sterling Silver,Metal: Oxidized Silver,Stone: None,11mm,1.6,19,4.60,87.40,925 Sterling Silver | Metal: Oxidized Silver | Stone: None | 11mm
499,ORCB215,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,28mm,2.1,20,6.09,121.80,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 28mm
500,ORCB216,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,26mm,2.3,20,6.61,132.20,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: Pink | 26mm
501,ORCB217,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,24mm,2.7,21,7.13,149.73,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: Multi-Colors | 24mm
502,ORCB218,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,24mm,2.5,12,6.55,78.60,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 24mm
503,ORCB219,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,19mm,2.2,20,6.15,123.00,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 19mm
504,ORCB220,925 Sterling Silver + AAAA CZ +,Metal:Rhodium Plated,Enamel,25mm,2.0,20,7.41,148.20,925 Sterling Silver + AAAA CZ + | Enamel | Metal:Rhodium Plated | Stone: White | 25mm
505,ORCB221,925 Sterling Silver + Enamel,Metal: Oxidized Silver,Stone: None,19mm,2.0,19,6.35,120.65,925 Sterling Silver + Enamel | Metal: Oxidized Silver | Stone: None | 19mm
508,ORGCBB1-17-W,925 Sterling Silver,Metal: Rhodium plating + enamel,,17 cm,13.16,8,22.15,177.20,925 Sterling Silver | Metal: Rhodium plating + enamel | white | 17 cm
509,ORGCBB1-17-R,925 Sterling Silver,Metal: Rhodium plating + enamel,,17 cm,13.16,5,22.15,110.75,925 Sterling Silver | Metal: Rhodium plating + enamel | red | 17 cm
510,ORGCBB1-17-K,925 Sterling Silver,Metal: Rhodium plating + enamel,,17 cm,13.16,6,22.15,132.90,925 Sterling Silver | Metal: Rhodium plating + enamel | black | 17 cm
