"sku","product","handle","price","variant"
"ORGCB51-P","Daisy Dangle, Pink","daisy-dangle-pink","39.00","Default Title"
"ORGCB50P","Danish Flag Charm, Red Enamel","danish-flag-charm-red-enamel","49.00","Default Title"
"ORGCB51-YP","Daisy Charm, Purple","daisy-charm-purple","39.00","Default Title"
"ORGCB51-YL","Daisy Charm, Blue","daisy-charm-blue","39.00","Default Title"
"ORGCB53-L","Longevity Charm, Blue Enamel","longevity-charm-blue-enamel","49.00","Default Title"
"ORGCB52-L","Fortune Charm, Blue Enamel","fortune-charm-blue-enamel","49.00","Default Title"
"ORGCB51-YR","Daisy Charm, Red","daisy-charm-red","39.00","Default Title"
"ORGCB55-L","Good Luck Charm, Blue Enamel","good-luck-charm-blue-enamel","49.00","Default Title"
"ORGCB54-L","Prosperity Charm, Blue Enamel","prosperity-charm-blue-enamel","49.00","Default Title"
"ORGCB56-L","Love Charm, Blue Enamel","love-charm-blue-enamel","49.00","Default Title"
"ORGCB56-B","Love Charm, Black Enamel","love-charm-black-enamel","49.00","Default Title"
"ORPA0010","Fluted Clip, Clear Stone","fluted-clip-clear-stone","39.00","Default Title"
"ORGCB58-LVR","Good Luck Clover Charm","good-luck-clover-charm","39.00","Default Title"
"ORGCB57-Z","Acorn Charm","acorn-charm","49.00","Default Title"
"ORPA0094","Pink Enamel Spacer","pink-enamel-spacer","39.00","Default Title"
"ORPA0035","Polished Spacer, Pink Stone","polished-spacer-pink-stone","39.00","Default Title"
"ORPA0123","Starry Night Spacer, Blue Enamel","starry-night-spacer-blue-enamel","29.00","Default Title"
"ORPA0107","Dragonfly Clip, Blue Enamel","dragonfly-clip-blue-enamel","39.00","Default Title"
"ORPA0097","Lilac Daisy Spacer","lilac-daisy-spacer","39.00","Default Title"
"ORPA0147","Butterfly Spacer, Clear Stones","butterfly-spacer-clear-stones","29.00","Default Title"
"ORPA0142","Tulip Spacer, Pink Stone","tulip-spacer-pink-stone","29.00","Default Title"
"ORPA0132","Butterfly Clip, Red Stone","butterfly-clip-red-stone","39.00","Default Title"
"ORPA034","Polished Dome Spacer","polished-dome-spacer","39.00","Default Title"
"ORPA0149","Scroll Spacer, Oxidized Silver","scroll-spacer-oxidized-silver","29.00","Default Title"
"ORGCBB1-17-W","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","White / 17cm"
"ORGCBB1-17-R","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Red / 17cm"
"ORGCBB1-17-K","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Black / 17cm"
"ORGCBB1-17-B","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Blue / 17cm"
"ORGCBB1-17-G","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Flower / 17cm"
"ORGCBB1-19-W","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","White / 19cm"
"ORGCBB1-19-R","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Red / 19cm"
"ORGCBB1-19-K","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Black / 19cm"
"ORGCBB1-19-B","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Blue / 19cm"
"ORGCBB1-19-G","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Flower / 19cm"
"ORGCBB1-21-W","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","White / 21cm"
"ORGCBB1-21-R","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Red / 21cm"
"ORGCBB1-21-K","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Black / 21cm"
"ORGCBB1-21-B","PEACE - SNAKE CHAIN","snake-chain-bracelet-with-enamel-accent","89.00","Blue / 21cm"
"ORCBB01-17","SPARKLE - SNAKE CHAIN","snake-chain-bracelet","89.00","17cm"
"ORCBB01-19","SPARKLE - SNAKE CHAIN","snake-chain-bracelet","89.00","19cm"
"ORCBB01-21","SPARKLE - SNAKE CHAIN","snake-chain-bracelet","89.00","21cm"
"14G-NINA-NAT","NINA","nina-natural","1420.00","14K Yellow Gold"
"18G-NINA-NAT","NINA","nina-natural","1730.00","18K Yellow Gold"
"14WG-NINA-NAT","NINA","nina-natural","1420.00","14K White Gold"
"18WG-NINA-NAT","NINA","nina-natural","1730.00","18K White Gold"
"14RG-NINA-NAT","NINA","nina-natural","1420.00","14K Rose Gold"
