sku,product_name,category,price_thb,price_usd,quantity
ORCB183-X,Letter X Charm,Charms,1200,29.00,10
ORCB183-Y,Letter Y Charm,Charms,1200,29.00,10
ORCB183-Z,Letter Z Charm,Charms,1200,39.00,10
ORGCB05-P-18,Durian Charm,Charms,1200,39.00,30
ORGCB06-P,"Danish Flag Charm, Pave",Charms,1200,49.00,15
ORGCB50P,"Danish Flag Charm, Red Enamel",Charms,1200,49.00,15
ORGCB07-18K,"Lotus Flower Charm, 18K Gold",Charms,1200,39.00,15
ORGCB07-P,Lotus Flower Charm,Charms,1200,39.00,15
ORGCB08-P,Tassel Charm,Charms,1200,39.00,15
ORGCB08-18K,"Tassel Charm, 18K Gold",Charms,1200,39.00,15
ORGCB09-P,Whale Tail Charm,Charms,1200,29.00,30
ORGCB10-P,Royal Guard Charm,Charms,1200,39.00,30
ORGCB11-18K,ORGCB11-18K,Charms,1200,,30
ORGCB12-18K,ORGCB12-18K,Charms,1200,,30
ORGCB18,ORGCB18,Charms,1200,,30
ORGCB19-18K,ORGCB19-18K,Charms,1200,,15
ORGCB19-P,ORGCB19-P,Charms,1200,,15
ORGCB20-18K,ORGCB20-18K,Charms,1200,,15
ORGCB20-P,ORGCB20-P,Charms,1200,,15
ORGCB21-18K,ORGCB21-18K,Charms,1200,,15
ORGCB21-P,ORGCB21-P,Charms,1200,,15
ORGCB22-18K,ORGCB22-18K,Charms,1200,,15
ORGCB22-P,ORGCB22-P,Charms,1200,,14
ORGCB23-18K,ORGCB23-18K,Charms,1200,,15
ORGCB23-P,ORGCB23-P,Charms,1200,,15
ORGCB24-18K,ORGCB24-18K,Charms,1200,,15
ORGCB24-P,ORGCB24-P,Charms,1200,,15
ORGCB25,Little Mermaid Charm,Charms,1200,49.00,30
ORGCB26-18K,ORGCB26-18K,Charms,1200,,15
ORGCB26-P,ORGCB26-P,Charms,1200,,13
ORGCB27,Coat of Arms Charm,Charms,1200,29.00,30
ORGCB28-18K,ORGCB28-18K,Charms,1200,,15
ORGCB28-P,ORGCB28-P,Charms,1200,,15
ORGCB29-18K,ORGCB29-18K,Charms,1200,,15
ORGCB29-P,ORGCB29-P,Charms,1200,,14
ORGCB30-18K,ORGCB30-18K,Charms,1200,,15
ORGCB30-P,ORGCB30-P,Charms,1200,,15
ORGCB51-WY,"Daisy Charm, White and Yellow",Charms,1200,39.00,30
ORGCB51-YL,"Daisy Charm, Blue",Charms,1200,39.00,30
ORGCB51-YP,"Daisy Charm, Purple",Charms,1200,39.00,29
ORGCB51-YR,"Daisy Charm, Red",Charms,1200,39.00,30
ORGCB51-P,"Daisy Dangle, Pink",Charms,1200,39.00,30
ORGCB52-L,"Fortune Charm, Blue Enamel",Charms,1200,49.00,28
ORGCB53-L,"Longevity Charm, Blue Enamel",Charms,1200,49.00,28
ORGCB54-L,"Prosperity Charm, Blue Enamel",Charms,1200,49.00,28
ORGCB55-L,"Good Luck Charm, Blue Enamel",Charms,1200,49.00,29
ORGCB56-B,"Love Charm, Black Enamel",Charms,1200,49.00,26
ORGCB57-Z,Acorn Charm,Charms,1200,49.00,27
ORGCB58-LVR,Good Luck Clover Charm,Charms,1200,39.00,23
ORCB32-Vir,Virgo Zodiac Charm,Charms,1200,29.00,16
ORCB32-Tau,Taurus Zodiac Charm,Charms,1200,29.00,16
ORCB32-Ari,Aries Zodiac Charm,Charms,1200,29.00,15
ORCB32-Sco,Scorpio Zodiac Charm,Charms,1200,29.00,11
ORCB32-Psc,Pisces Zodiac Charm,Charms,1200,29.00,15
ORCB32-Cap,Capricorn Zodiac Charm,Charms,1200,29.00,13
ORCB32-Cnc,Cancer Zodiac Charm,Charms,1200,29.00,16
ORCB32-Sgr,Sagittarius Zodiac Charm,Charms,1200,29.00,16
ORCB32-Leo,Leo Zodiac Charm,Charms,1200,29.00,16
ORCB32-Gem,Gemini Zodiac Charm,Charms,1200,29.00,16
ORCB32-Lib,Libra Zodiac Charm,Charms,1200,29.00,15
ORCB32-Agr,Aquarius Zodiac Charm,Charms,1200,29.00,13
ORCB33-R,"January Birthstone Charm, Garnet",Charms,1200,29.00,20
ORCB33-P,"February Birthstone Charm, Amethyst",Charms,1200,29.00,20
ORCB33-Q,"March Birthstone Charm, Aquamarine",Charms,1200,29.00,20
ORCB33-W,"April Birthstone Charm, White",Charms,1200,29.00,20
ORCB33-LV,"May Birthstone Charm, Emerald",Charms,1200,29.00,20
ORCB33-PL,"June Birthstone Charm, Alexandrite",Charms,1200,29.00,20
ORCB33-M,"July Birthstone Charm, Ruby",Charms,1200,29.00,19
ORCB33-G,"August Birthstone Charm, Peridot",Charms,1200,29.00,20
ORCB33-BL,"September Birthstone Charm, Sapphire",Charms,1200,29.00,20
ORCB33-F,"October Birthstone Charm, Tourmaline",Charms,1200,29.00,20
ORCB33-X,"November Birthstone Charm, Yellow Topaz",Charms,1200,29.00,20
ORCB33-L,"December Birthstone Charm, Turquoise",Charms,1200,29.00,20
ORCB199,"Tree of Life Charm, Pink and Purple",Charms,1200,49.00,21
ORCB200,Tree of Life Heart Charm,Charms,1200,39.00,20
