sku,category,unit_cost_usd,suggested_price_thb,margin_pct
ORGCB182-6,Charms,8.33,1200,77
ORGCB182-7,Charms,8.33,1200,77
ORGCB182-8,Charms,8.33,1200,77
ORGCB184-1,Charms,8.33,1200,77
ORGCB184-2,Charms,8.33,1200,77
ORGCB184-3,Charms,8.33,1200,77
ORGCB184-4,Charms,8.33,1200,77
ORGCB184-5,Charms,8.33,1200,77
ORGCB184-6,Charms,8.33,1200,77
ORGCB184-7,Charms,8.33,1200,77
ORGCB185-14K,Charms,7.86,1200,78
ORGCB186-1,Charms,7.86,1200,78
ORGCB186-2,Charms,7.86,1200,78
ORGCB181,Charms,5.60,1200,85
ORGCB187-14K-1,Charms,5.48,1200,85
ORGCB187-14K-2,Charms,5.48,1200,85
ORCB145,Charms,6.13,1200,83
ORSE107-R,Earrings,3.08,1900,95
ORSN15,Necklaces,6.99,1900,88
ORSE89,Earrings,4.96,1900,91
