page	seq_on_page	y	obj	file	width	height
19	3	236.3	222	img_0162.jpg	800	800
19	4	313.4	223	img_0163.jpg	800	800
19	5	388.2	224	img_0164.jpg	800	800
19	6	471.4	225	img_0165.jpg	800	800
19	7	554.2	226	img_0166.jpg	800	800
19	8	632.4	227	img_0167.jpg	800	800
19	9	713.2	228	img_0168.jpg	800	800
19	10	790.2	229	img_0169.jpg	800	800
20	1	82.9	232	img_0170.jpg	800	800
20	2	157.7	233	img_0171.jpg	800	800
20	3	241.0	234	img_0172.jpg	800	800
20	4	319.4	235	img_0173.jpg	800	800
20	5	407.5	236	img_0174.jpg	800	800
20	6	489.1	237	img_0175.jpg	800	800
20	7	560.4	238	img_0176.jpg	800	800
20	8	639.4	239	img_0177.jpg	800	800
20	9	712.9	240	img_0178.jpg	800	800
20	10	789.8	241	img_0179.jpg	800	800
21	1	83.0	244	img_0180.jpg	800	800
21	2	169.3	245	img_0181.jpg	800	800
21	3	244.6	246	img_0182.jpg	800	800
21	4	329.0	247	img_0183.jpg	800	800
21	5	407.8	248	img_0184.jpg	800	800
21	6	486.6	249	img_0185.jpg	800	800
21	7	562.3	250	img_0186.jpg	800	800
21	8	640.3	251	img_0187.jpg	800	800
21	9	725.0	252	img_0188.jpg	800	800
21	10	801.8	253	img_0189.jpg	800	800
22	1	84.1	259	img_0193.jpg	800	800
22	2	161.2	260	img_0194.jpg	800	800
22	3	245.6	261	img_0195.jpg	800	800
22	4	324.8	262	img_0196.jpg	800	800
22	5	403.4	263	img_0197.jpg	800	800
22	6	481.9	264	img_0198.jpg	800	800
22	7	573.6	256	img_0190.jpg	800	800
22	8	667.6	257	img_0191.jpg	800	800
22	9	754.1	258	img_0192.jpg	800	800
23	1	97.7	267	img_0199.jpg	800	800
23	2	185.8	268	img_0200.jpg	800	800
23	3	274.9	269	img_0201.jpg	800	800
23	4	365.8	270	img_0202.jpg	800	800
23	5	458.8	271	img_0203.jpg	800	800
23	6	556.3	272	img_0204.jpg	800	800
23	7	662.6	273	img_0205.jpg	800	800
23	8	763.2	274	img_0206.jpg	800	800
24	1	99.6	277	img_0207.jpg	800	800
24	2	203.6	278	img_0208.jpg	800	800
24	3	300.1	279	img_0209.jpg	800	800
24	4	404.0	280	img_0210.jpg	800	800
24	5	502.7	281	img_0211.jpg	800	800
24	6	598.4	282	img_0212.jpg	800	800
24	7	703.0	283	img_0213.jpg	800	800
24	8	806.5	284	img_0214.jpg	800	800
25	1	104.3	287	img_0215.jpg	800	800
25	2	203.6	288	img_0216.jpg	800	800
25	3	299.5	289	img_0217.jpg	800	800
25	4	397.0	290	img_0218.jpg	800	800
25	5	497.6	291	img_0219.jpg	800	800
25	6	598.2	292	img_0220.jpg	800	800
25	7	688.4	293	img_0221.jpg	572	542
25	8	771.7	293	img_0221.jpg	572	542
26	1	85.9	293	img_0221.jpg	572	542
26	2	174.7	297	img_0223.jpg	800	800
26	3	257.5	296	img_0222.jpg	382	374
26	4	338.9	298	img_0224.jpg	384	378
26	5	420.4	300	img_0226.jpg	387	379
26	6	503.8	299	img_0225.jpg	383	377
26	7	584.8	301	img_0227.jpg	386	379
26	8	664.0	304	img_0230.jpg	382	378
26	9	749.4	303	img_0229.jpg	381	380
26	10	830.3	302	img_0228.jpg	381	372
27	1	86.5	314	img_0238.jpg	382	380
27	2	169.9	316	img_0240.jpg	382	380
27	3	250.3	315	img_0239.jpg	391	378
27	4	333.6	307	img_0231.jpg	386	382
27	5	418.0	308	img_0232.jpg	388	379
27	6	499.1	309	img_0233.jpg	386	381
27	7	578.6	310	img_0234.jpg	386	378
27	8	664.8	311	img_0235.jpg	383	375
27	9	744.0	312	img_0236.jpg	384	376
27	10	826.0	313	img_0237.jpg	382	379
28	1	87.4	324	img_0246.jpg	383	378
28	2	169.2	325	img_0247.jpg	380	377
28	3	249.1	319	img_0241.jpg	378	371
28	4	331.7	322	img_0244.jpg	387	379
28	5	418.1	321	img_0243.jpg	392	381
28	6	495.8	320	img_0242.jpg	387	376
28	7	583.6	323	img_0245.jpg	800	800
28	8	663.7	327	img_0249.jpg	1001	1001
28	9	746.5	326	img_0248.jpg	1001	1001
28	10	819.1	329	img_0251.jpg	1001	1001
28	11	909.8	328	img_0250.jpg	1001	1001
29	1	89.0	328	img_0250.jpg	1001	1001
29	2	167.3	333	img_0253.jpg	1001	1001
29	3	251.6	332	img_0252.jpg	1001	1001
29	4	335.6	339	img_0259.jpg	400	400
29	5	402.7	334	img_0254.jpg	1001	1001
29	6	480.2	335	img_0255.jpg	1001	1001
29	7	559.4	336	img_0256.jpg	1001	1001
29	8	559.9	336	img_0256.jpg	1001	1001
29	9	647.0	337	img_0257.jpg	1001	1001
29	10	720.7	338	img_0258.jpg	1001	1001
29	11	802.3	39	img_0013.jpg	1001	1001
30	1	64.4	342	img_0260.jpg	1001	1001
30	2	153.0	343	img_0261.jpg	1001	1001
30	3	227.9	344	img_0262.jpg	1001	1001
30	4	327.5	345	img_0263.jpg	1001	1001
30	5	396.1	346	img_0264.jpg	1001	1001
30	6	500.8	347	img_0265.jpg	1001	1001
30	7	555.4	348	img_0266.jpg	1001	1001
30	8	639.2	348	img_0266.jpg	1001	1001
30	9	728.0	349	img_0267.jpg	1001	1001
30	10	812.0	350	img_0268.jpg	1001	1001
31	1	81.1	353	img_0269.jpg	1001	1001
31	2	166.3	354	img_0270.jpg	1001	1001
31	3	233.9	355	img_0271.jpg	632	396
31	4	315.5	356	img_0272.jpg	578	417
31	5	406.8	357	img_0273.jpg	439	529
31	6	489.6	358	img_0274.jpg	412	540
31	7	552.4	359	img_0275.jpg	452	220
31	8	636.0	360	img_0276.jpg	422	212
31	9	636.5	360	img_0276.jpg	422	212
31	10	731.5	361	img_0277.jpg	800	800
31	11	814.7	362	img_0278.jpg	800	800
32	1	76.4	366	img_0280.jpg	800	800
32	2	156.2	365	img_0279.jpg	800	800
32	3	240.5	367	img_0281.jpg	800	800
32	4	324.0	368	img_0282.jpg	800	800
